User ID,Symbol,Name,Ticker Type,Side,Total Qty,Filled Qty,Stop Price,Limit Price,Average Price,Order Type,Time In Force,Trading Allowed Time Period,Placed Time,Filled Time,Execute Status,Filled Price,Filled Amount,Create Time
U123456,TSLA,Tesla Inc,STK,BUY,100,100,0,0,185.50,MKT,DAY,RTH,2024-03-04 09:31:00,2024-03-04 09:31:05,FILLED,185.50,18550.00,2024-03-04 09:30:58
U123456,TSLA,Tesla Inc,STK,SELL,100,100,0,0,188.75,MKT,DAY,RTH,2024-03-04 10:15:00,2024-03-04 10:15:03,FILLED,188.75,18875.00,2024-03-04 10:14:57
U123456,NVDA,Nvidia Corp,STK,BUY,50,50,0,0,820.00,LMT,DAY,RTH,2024-03-04 09:45:00,2024-03-04 09:45:12,FILLED,820.00,41000.00,2024-03-04 09:44:55
U123456,NVDA,Nvidia Corp,STK,SELL,50,50,0,0,835.50,LMT,DAY,RTH,2024-03-04 11:30:00,2024-03-04 11:30:08,FILLED,835.50,41775.00,2024-03-04 11:29:52
U123456,AAPL,Apple Inc,STK,BUY,200,200,0,0,172.30,MKT,DAY,RTH,2024-03-05 09:35:00,2024-03-05 09:35:04,FILLED,172.30,34460.00,2024-03-05 09:34:58
U123456,AAPL,Apple Inc,STK,SELL,200,200,0,0,170.10,MKT,DAY,RTH,2024-03-05 10:05:00,2024-03-05 10:05:02,FILLED,170.10,34020.00,2024-03-05 10:04:58
U123456,SPY,SPDR S&P 500 ETF,STK,BUY,100,100,0,0,511.20,MKT,DAY,RTH,2024-03-05 13:00:00,2024-03-05 13:00:01,FILLED,511.20,51120.00,2024-03-05 12:59:58
U123456,SPY,SPDR S&P 500 ETF,STK,SELL,100,100,0,0,513.85,MKT,DAY,RTH,2024-03-05 14:30:00,2024-03-05 14:30:02,FILLED,513.85,51385.00,2024-03-05 14:29:57
U123456,META,Meta Platforms,STK,BUY,30,30,0,0,490.00,LMT,DAY,RTH,2024-03-06 09:40:00,2024-03-06 09:40:09,FILLED,490.00,14700.00,2024-03-06 09:39:55
U123456,META,Meta Platforms,STK,BUY,20,20,0,0,487.50,LMT,DAY,RTH,2024-03-06 10:10:00,2024-03-06 10:10:05,FILLED,487.50,9750.00,2024-03-06 10:09:52
U123456,META,Meta Platforms,STK,SELL,50,50,0,0,498.20,MKT,DAY,RTH,2024-03-06 13:45:00,2024-03-06 13:45:03,FILLED,498.20,24910.00,2024-03-06 13:44:57
U123456,TSLA,Tesla Inc,STK,BUY,150,150,0,0,182.00,MKT,DAY,RTH,2024-03-06 09:50:00,2024-03-06 09:50:06,FILLED,182.00,27300.00,2024-03-06 09:49:58
U123456,TSLA,Tesla Inc,STK,SELL,150,150,0,0,178.40,MKT,DAY,RTH,2024-03-06 10:45:00,2024-03-06 10:45:04,FILLED,178.40,26760.00,2024-03-06 10:44:58
U123456,AMD,Advanced Micro Devices,STK,BUY,75,75,0,0,195.80,LMT,DAY,RTH,2024-03-07 09:33:00,2024-03-07 09:33:07,FILLED,195.80,14685.00,2024-03-07 09:32:55
U123456,AMD,Advanced Micro Devices,STK,SELL,75,75,0,0,201.30,LMT,DAY,RTH,2024-03-07 11:00:00,2024-03-07 11:00:05,FILLED,201.30,15097.50,2024-03-07 10:59:52
U123456,QQQ,Invesco QQQ Trust,STK,BUY,60,60,0,0,440.00,MKT,DAY,RTH,2024-03-07 14:00:00,2024-03-07 14:00:02,FILLED,440.00,26400.00,2024-03-07 13:59:57
U123456,QQQ,Invesco QQQ Trust,STK,SELL,60,60,0,0,437.50,MKT,DAY,RTH,2024-03-07 14:55:00,2024-03-07 14:55:03,FILLED,437.50,26250.00,2024-03-07 14:54:58
U123456,NVDA,Nvidia Corp,STK,BUY,40,40,0,0,852.00,LMT,DAY,RTH,2024-03-08 09:38:00,2024-03-08 09:38:11,FILLED,852.00,34080.00,2024-03-08 09:37:55
U123456,NVDA,Nvidia Corp,STK,SELL,40,40,0,0,875.00,LMT,DAY,RTH,2024-03-08 12:30:00,2024-03-08 12:30:06,FILLED,875.00,35000.00,2024-03-08 12:29:52
U123456,AAPL,Apple Inc,STK,BUY,100,100,0,0,169.50,MKT,DAY,RTH,2024-03-11 09:42:00,2024-03-11 09:42:04,FILLED,169.50,16950.00,2024-03-11 09:41:58
U123456,AAPL,Apple Inc,STK,SELL,100,100,0,0,171.80,MKT,DAY,RTH,2024-03-11 11:15:00,2024-03-11 11:15:02,FILLED,171.80,17180.00,2024-03-11 11:14:57
U123456,TSLA,Tesla Inc,STK,BUY,200,200,0,0,176.50,MKT,DAY,RTH,2024-03-11 13:30:00,2024-03-11 13:30:05,FILLED,176.50,35300.00,2024-03-11 13:29:58
U123456,TSLA,Tesla Inc,STK,SELL,200,200,0,0,174.20,MKT,DAY,RTH,2024-03-11 14:45:00,2024-03-11 14:45:03,FILLED,174.20,34840.00,2024-03-11 14:44:57
U123456,SPY,SPDR S&P 500 ETF,STK,BUY,50,50,0,0,516.40,MKT,DAY,RTH,2024-03-12 09:45:00,2024-03-12 09:45:01,FILLED,516.40,25820.00,2024-03-12 09:44:58
U123456,SPY,SPDR S&P 500 ETF,STK,SELL,50,50,0,0,519.70,MKT,DAY,RTH,2024-03-12 13:00:00,2024-03-12 13:00:02,FILLED,519.70,25985.00,2024-03-12 12:59:57
U123456,GOOGL,Alphabet Inc,STK,BUY,25,25,0,0,155.00,LMT,DAY,RTH,2024-03-12 10:00:00,2024-03-12 10:00:08,FILLED,155.00,3875.00,2024-03-12 09:59:55
U123456,GOOGL,Alphabet Inc,STK,SELL,25,25,0,0,158.40,LMT,DAY,RTH,2024-03-12 14:00:00,2024-03-12 14:00:05,FILLED,158.40,3960.00,2024-03-12 13:59:52
U123456,META,Meta Platforms,STK,BUY,20,20,0,0,510.00,LMT,DAY,RTH,2024-03-13 09:50:00,2024-03-13 09:50:07,FILLED,510.00,10200.00,2024-03-13 09:49:55
U123456,META,Meta Platforms,STK,SELL,20,20,0,0,505.50,MKT,DAY,RTH,2024-03-13 11:30:00,2024-03-13 11:30:03,FILLED,505.50,10110.00,2024-03-13 11:29:57
U123456,AMD,Advanced Micro Devices,STK,BUY,50,50,0,0,205.00,LMT,DAY,RTH,2024-03-14 09:35:00,2024-03-14 09:35:09,FILLED,205.00,10250.00,2024-03-14 09:34:55
U123456,AMD,Advanced Micro Devices,STK,SELL,50,50,0,0,209.75,LMT,DAY,RTH,2024-03-14 12:45:00,2024-03-14 12:45:06,FILLED,209.75,10487.50,2024-03-14 12:44:52
